PID: 0 | TP: 6442 | CP: 6443 | EP: PRONTO | NES: 77 | N_CPU: 77 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 6442 | CP: 6443 | EP: EXECUTANDO | NES: 77 | N_CPU: 78 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 6446 | CP: 6447 | EP: BLOQUEADO | NES: 78 | N_CPU: 78 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 6446 | CP: 6447 | EP: EXECUTANDO | NES: 78 | N_CPU: 79 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 6497 | CP: 6498 | EP: BLOQUEADO | NES: 79 | N_CPU: 79 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 6497 | CP: 6498 | EP: PRONTO | NES: 79 | N_CPU: 79 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 6497 | CP: 6498 | EP: EXECUTANDO | NES: 79 | N_CPU: 80 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 6697 | CP: 6698 | EP: BLOQUEADO | NES: 80 | N_CPU: 80 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 6697 | CP: 6698 | EP: PRONTO | NES: 80 | N_CPU: 80 | Ação: BLOQUEADO >>> PRONTO
PID: 0 | TP: 6697 | CP: 6698 | EP: EXECUTANDO | NES: 80 | N_CPU: 81 | Ação: PRONTO >>> EXECUTANDO
PID: 0 | TP: 6719 | CP: 6720 | EP: BLOQUEADO | NES: 81 | N_CPU: 81 | Ação: EXECUTANDO >>> BLOQUEADO
PID: 0 | TP: 6719 | CP: 6720 | EP: PRONTO | NES: 81 | N_CPU: 81 | Ação: BLOQUEADO >>> PRONTO
